HOVEDSKOLE_INST;INST_NR;INST_NAVN;ENHEDSART;INST_ADR;POSTNR;POSTDISTRIKT;TLF_NR;E_MAIL;WEB_ADR;INST_TYPE_NR;INST_TYPE_NAVN;INST_TYPE_GRUPPE;UNDERV_NIV;INST_LEDER;CVR_NR;KOMMUNE_NR;ADM_KOMMUNE_NAVN;BEL_KOMMUNE;BEL_KOMMUNE_NAVN;BEL_REGION;REGION_NAVN;EJER_KODE;EJERKODE_NAVN
;101062;Bavnehøj Skole;Institution uden enheder;Natalie Zahles Vej 9;2450;København SV;3366 5100;mail@bav.kk.dk;www.bav.kk.dk;1012;Folkeskoler;Grundskoler mv. ;10;Pia Grevelund;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101063;Ellebjerg Skole;Institution uden enheder;P. Knudsens Gade 37;2450;København SV;3877 3500;mail@ellebjergskole.kk.dk;www.ellebjergskole.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Edvin Steen Jensen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101064;Tove Ditlevsens Skole;Institution uden enheder;Enghave Plads 21;1670;København V;3326 7810;mail@tds.kk.dk;www.tds.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Hanne Reppien;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101069;Oehlenschlægersgades Skole;Institution uden enheder;Oehlenschlægersgade 57;1663;København V;3326 7800;mail@oeh.kk.dk;www.oeh.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Søren Sørensen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101070;Hanssted Skole;Institution uden enheder;Rødbyvej 2;2500;Valby;3630 1831;mail@hanssted.kk.dk;www.hanssted.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Kåre Landgren;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101071;Kirsebærhavens Skole;Institution uden enheder;Kirsebærhaven 25;2500;Valby;8232 8232;mail@kir.kk.dk;www.kir.kk.dk;1012;Folkeskoler;Grundskoler mv. ;10;Anette Lauge;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101072;Lykkebo Skole;Institution uden enheder;Vigerslevvej 141;2500;Valby;3613 0020;mail@lykkeboskole.kk.dk;www.lykkeboskole.kk.dk;1012;Folkeskoler;Grundskoler mv. ;10;Martin Bjerrum Puggaard;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101074;Valby Skole;Institution uden enheder;Ved Ovnhallen 6;2500;Valby;8232 4444;mail@valbyskole.kk.dk;www.valbyskole.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Margrethe Frausing;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101075;Vigerslev Alles Skole;Institution uden enheder;Vigerslev Allé 108;2500;Valby;3617 0330;mail@vas.kk.dk;www.vas.kk.dk;1012;Folkeskoler;Grundskoler mv. ;10;Anja Helmbæk Horst;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101076;Ålholm Skole;Institution uden enheder;Vibeholmen 1;2500;Valby;3616 2632;mail@aalholmskole.kk.dk;www.aalholmskole.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Michael Olesen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101077;Svanevej Privatskole;Institution uden enheder;Svanevej 10;2400;København NV;3581 6143;svanevej@mail.tele.dk;www.svanevejprivatskole.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Finn Dyrby Hermansen, konst.;43857916;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101078;Carolineskolen;Institution uden enheder;Bomhusvej 18;2100;København Ø;3929 9500;carolineskolen@carolineskolen.dk;www.carolineskolen.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Jan. G. Hansen;60656215;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101079;Christianshavns Døttreskole;Institution uden enheder;Dronningensgade 67;1420;København K;3257 4553;birgitl@cd1799.dk;www.doettreskolen.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Birgit Lose;53289916;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101080;Det Kgl Vaisenhus Skole;Institution uden enheder;Nørre Farimagsgade 51;1364;København K;3393 0326;kontor@vajsenhuset.dk;www.vajsenhuset.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Mathias Bruun;10362911;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101081;Institut Sankt Joseph;Institution uden enheder;Dag Hammarskjölds Allé 17;2100;København Ø;3538 4735;ledelse@sanktjoseph.dk;www.sanktjoseph.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;10;Peter Franklin;11962815;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101082;Sankt Ansgars Skole;Institution uden enheder;Nørrebrogade 27;2200;København N;3539 4646;sekretaer@ansgarsskole.dk;www.sasnet.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Kirsten Poulsen;55809712;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101083;Krebs' Skole;Institution uden enheder;Stockholmsgade 5;2100;København Ø;3525 3939;krebs@krebs-skole.dk;www.krebs-skole.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Mikael Fink-Jensen;55730016;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101084;Sankt Annæ Skole;Institution uden enheder;Otto Ruds Vej 7;2300;København S;3258 0535;info@sktannaeskole.dk;www.sanktannaeskole.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;10;Søren Blinkenberg;53009719;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101086;Bordings Friskole;Institution uden enheder;Øster Søgade 86;2100;København Ø;3538 6908;kontor@bordings.dk;www.bordings.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Mogens Krabek;23176610;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101087;Den Lille Skole i København;Institution uden enheder;Lindholmsvej 18;2700;Brønshøj;3860 1616;lilleskolen-kbh@lilleskolen-kbh.dk;www.lilleskolen-kbh.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;6;Laila Iisager Andersen;27400019;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101088;N. Zahles Seminarieskole;Institution uden enheder;Linnésgade 8;1361;København K;3369 7900;sd@adm.zahle.dk;www.zahle.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Steen Dahl;62513217;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101089;Sankt Petri Skole;Institution uden enheder;Larslejsstræde 5;1451;København K;3313 0462;kontor@adm.sanktpetriskole.dk;www.sanktpetriskole.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Dagmar Leng Rasmussen;10195616;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101090;Østerbro Lilleskole;Institution uden enheder;Sionsgade 5a;2100;København Ø;3929 7114;post@osterbrolilleskole.dk;www.oesterbrolilleskole.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;7;Jasmin Heide;28889615;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101091;Hovedstadens Privatskole, Filipskolen;Institution uden enheder;Amager Strandvej 124a;2300;København S;3255 4711;filipsko@post1.tele.dk;www.filipskolen-kbh.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Mark Lindberg-Christensen;65038617;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101092;Amager Lille Skole;Institution uden enheder;Rodosvej 47;2300;København S;3259 1390;administration@amagerlilleskole.dk;www.amagerlilleskole.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Daniel Egmose;22229516;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101093;Skolen i Charlottegården;Institution uden enheder;Frederikssundsvej 77;2400;København NV;3536 1306;mail@cha.kk.dk;www.cha.kk.dk;1015;Specialskoler for børn;Grundskoler mv. ;10;Jens Husum;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101094;Frederiksgård Skole;Institution uden enheder;Frederiksgårds Allé 13;2720;Vanløse;3834 5288;mail@frg.kk.dk;www.frg.kk.dk;1015;Specialskoler for børn;Grundskoler mv. ;10;Morten Leer;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101098;Engskolen;Institution uden enheder;Haderslevgade 6;1671;København V;3322 4306;mail@engskolen.kk.dk;www.engskolen.kk.dk;1015;Specialskoler for børn;Grundskoler mv. ;10;Susanne Brinkø;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101108;Akademisk Studenterkursus;Institution uden enheder;Titangade 9 B;2200;København N;3583 1826;ask@akadstud.dk;www.akadstud.dk;1063;Studenterkurser;Institutioner med almengymnasiale uddannelser ;;Inga Paulsen Albertsen;63717711;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101111;Byens Skole;Institution uden enheder;Høffdingsvej 75;2500;Valby;3616 7746;byens@byens-skole.dk;www.byens-skole.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;10;Morten May;33351313;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101115;Rysensteen Gymnasium;Institution uden enheder;Tietgensgade 74;1704;København V;3324 4311;mail@rysensteen.dk;www.rysensteen.dk;1061;Gymnasier og HF-kurser;Institutioner med almengymnasiale uddannelser ;;Gitte Harding Transbøl;29542708;;;101;Københavns Kommune;1084;Region Hovedstaden;4;Selvejende, statslige
;101117;Sankt Annæ Gymnasium;Institution uden enheder;Sjælør Boulevard 135;2500;Valby;3646 6222;sag@sag.dk;www.sankt-annae.dk;1061;Gymnasier og HF-kurser;Institutioner med almengymnasiale uddannelser ;;Anette Holst;25204824;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101118;Christianshavns Gymnasium;Institution uden enheder;Prinsessegade 35;1422;København K;4329 0300;chrgym@cg-gym.dk;www.christianshavns-gymnasium.dk;1061;Gymnasier og HF-kurser;Institutioner med almengymnasiale uddannelser ;;Troels Vang Andersen;29546010;;;101;Københavns Kommune;1084;Region Hovedstaden;4;Selvejende, statslige
;101120;Nørre Gymnasium;Institution uden enheder;Mørkhøjvej 78;2700;Brønshøj;4494 2722;ng@norreg.dk;www.norreg.dk;1061;Gymnasier og HF-kurser;Institutioner med almengymnasiale uddannelser ;;Jens Boe Nielsen;29575649;;;101;Københavns Kommune;1084;Region Hovedstaden;4;Selvejende, statslige
;101121;Københavns åbne Gymnasium;Institution uden enheder;Sjælør Boulevard 133;2500;Valby;3646 3350;kg@adm.kg.dk;www.kg.dk;1061;Gymnasier og HF-kurser;Institutioner med almengymnasiale uddannelser ;;Anne-Birgitte Rasmussen;29556393;;;101;Københavns Kommune;1084;Region Hovedstaden;4;Selvejende, statslige
;101124;Ingrid Jespersens Gymnasieskole;Institution uden enheder;Nordre Frihavnsgade 9;2100;København Ø;3526 3622;ijg@ijg.dk;www.ijg.dk;1062;Private gymnasier og HF-kurser;Institutioner med almengymnasiale uddannelser ;;Otto Strange Møller;21480711;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101125;Niels Steensens Gymnasium;Institution uden enheder;Sankt Kjelds Gade 3;2100;København Ø;3916 2340;nsg@nsg.dk;www.nsg.dk;1062;Private gymnasier og HF-kurser;Institutioner med almengymnasiale uddannelser ;;Lise Baadsgaard Jepsen;63941611;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101126;N. Zahles Gymnasieskole;Institution uden enheder;Nørre Voldgade 5;1358;København K;3369 7900;gymnasiet@zahlesgym.dk;www.zahlesgym.dk;1062;Private gymnasier og HF-kurser;Institutioner med almengymnasiale uddannelser ;;Anne Birgitte Klange;62513217;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101127;Øbro Fri Skole;Institution uden enheder;Øster Farimagsgade 16 B;2100;København Ø;3525 3630;oebro.101127@skolekom.dk;www.oebro-fri-sk.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;10;Peder Grene;48671217;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101129;Landsbyskolen;Institution uden enheder;Engvej 135;2300;København S;3259 8631;landsbyskolen.dk@skolekom.dk;www.landsbyskolen.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Stig Jørgensen;12718748;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101132;Nørrebro Lilleskole;Institution uden enheder;Prinsesse Charlottes Gade 34;2200;København N;3535 4501;lilleskole@mail.dk;www.norrebro-lilleskole.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Jacob Hatting;51972317;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101133;Freinet-Skolen;Institution uden enheder;Valby Langgade 117;2500;Valby;2522 2650;freinetadmin@mail.tele.dk;www.freinetskolen.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Michael Christiansen;58331112;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101135;Vanløse Privatskole;Institution uden enheder;Linde Allé 34;2720;Vanløse;3871 5685;adm.101135@vanloeseprivatskole.dk;www.vanloeseprivatskole.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Søren Sørensen;82247513;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101138;Lundehusskolen;Institution uden enheder;Lersø Parkalle 152;2100;København Ø;3366 4100;mail@lundehus.kk.dk;www.lundehus.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Charlotte Norman Andersen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101140;Trekronergade Freinetskole;Institution uden enheder;Trekronergade 46, 1;2500;Valby;3617 3162;kontor@trekroner-freinet.dk;www.trekroner-freinet.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Henrik Kramer;86841916;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101142;Center for Specialundervisning for Voksne;Institution uden enheder;Frankrigsgade 4;2300;København S;3286 0686;csv@csv.kk.dk;www.csv.kk.dk;1051;Specialskoler for voksne;Voksenuddannelsesinstitutionerne ;7;Søren Stanley Thomsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101145;Ryparken Lille Skole;Institution uden enheder;Gartnerivej 3;2100;København Ø;3929 6639;kontor@ryp.dk;www.ryparkenskole.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;7;Mette Lisbjerg Jensen;28997418;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101149;DIA Privatskole;Institution uden enheder;Sankt Hans Gade 25;2200;København N;3535 8223;kontor.dia@dia-privatskole.dk;www.dia-privatskole.dk;1013;Friskoler og private grundskoler;Grundskoler mv. ;9;Sabir Ayub;60098212;;;101;Københavns Kommune;1084;Region Hovedstaden;5;Selvejende, private
;101151;Kildevældsskolen;Institution uden enheder;Bellmansgade 5a;2100;København Ø;3317 3131;mail@kildevaeld.kk.dk;www.kildevaeld.kk.dk;1012;Folkeskoler;Grundskoler mv. ;10;Niels Jørgen Bang;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
